2020-09-01 20:58:55.320518|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.12.1 (2020-03-27 10:38:47)
2020-09-01 20:58:55.320598|INFO    |ServerLibPriv |   |SystemInformation: Linux 3.10.0-1127.19.1.el7.x86_64 #1 SMP Tue Aug 25 17:23:54 UTC 2020 x86_64 Binary: 64bit
2020-09-01 20:58:55.320618|INFO    |ServerLibPriv |   |Using hardware aes
2020-09-01 20:58:55.320791|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2020-09-01 20:58:55.320821|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2020-09-01 20:58:55.320971|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2020-09-01 20:58:55.390519|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2020-09-01 20:58:55.411320|INFO    |Accounting    |   |Licensing Information
2020-09-01 20:58:55.411385|INFO    |Accounting    |   |licensed to       : Anonymous
2020-09-01 20:58:55.411402|INFO    |Accounting    |   |type              : No License
2020-09-01 20:58:55.411418|INFO    |Accounting    |   |starting date     : Sat Feb  1 00:00:00 2020
2020-09-01 20:58:55.411431|INFO    |Accounting    |   |ending date       : Mon Feb  1 00:00:00 2021
2020-09-01 20:58:55.411442|INFO    |Accounting    |   |max virtualservers: 1
2020-09-01 20:58:55.411453|INFO    |Accounting    |   |max slots         : 32
2020-09-01 20:58:56.560342|INFO    |              |   |Puzzle precompute time: 1119
2020-09-01 20:58:56.560668|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2020-09-01 20:58:56.627853|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2020-09-01 20:58:56.627923|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2020-09-01 20:59:48.066441|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
